sexo,cpro,grupo_edad,poblacion_total,poblacion_agregada,porcentaje
Mujeres,25,30-39,17.854999999999997,178.564,9.999215967384242
Mujeres,25,40-49,26.366,178.564,14.765574247888713
Mujeres,25,50-59,26.881,178.564,15.053986245827828
Mujeres,25,60-69,22.743000000000002,178.564,12.736609842969468
Mujeres,25,70-79,18.308,178.564,10.25290652091127
Mujeres,25,80+,17.383,178.564,9.734884971214802
Hombres,26,0-9,11.789,136.823,8.616241421398449
Hombres,26,10-19,14.338,136.823,10.479232292816265
Hombres,26,20-29,12.142,136.823,8.874238980288402
Hombres,26,30-39,15.048,136.823,10.998150895682743
Hombres,26,40-49,22.672,136.823,16.570313470688408
Hombres,26,50-59,21.610999999999997,136.823,15.79485905147526
Hombres,26,60-69,18.009,136.823,13.162260731017444
