provincias;grupo_edad;sexo;poblacion_total
06 Badajoz;De 5 a 9 años;Hombres;15.730
06 Badajoz;De 5 a 9 años;Mujeres;14.821
06 Badajoz;De 10 a 14 años  ;Hombres;17.515
06 Badajoz;De 10 a 14 años  ;Mujeres;16.609
06 Badajoz;De 15 a 19 años  ;Hombres;17.059
06 Badajoz;De 15 a 19 años  ;Mujeres;16.390
06 Badajoz;De 20 a 24 años;Hombres;17.149
06 Badajoz;De 20 a 24 años;Mujeres;16.770
06 Badajoz;De 25 a 29 años;Hombres;18.746
06 Badajoz;De 25 a 29 años;Mujeres;17.741
06 Badajoz;De 30 a 34 años;Hombres;19.927
06 Badajoz;De 30 a 34 años;Mujeres;18.544
06 Badajoz;De 35 a 39 años;Hombres;21.598
06 Badajoz;De 35 a 39 años;Mujeres;20.738
06 Badajoz;De 40 a 44 años;Hombres;24.075
06 Badajoz;De 40 a 44 años;Mujeres;23.821
06 Badajoz;De 45 a 49 años;Hombres;25.449
06 Badajoz;De 45 a 49 años;Mujeres;24.593
06 Badajoz;De 50 a 54 años;Hombres;25.603
06 Badajoz;De 50 a 54 años;Mujeres;25.634
06 Badajoz;De 55 a 59 años;Hombres;25.735
06 Badajoz;De 55 a 59 años;Mujeres;25.203
06 Badajoz;De 60 a 64 años;Hombres;21.526
06 Badajoz;De 60 a 64 años;Mujeres;20.923
06 Badajoz;De 65 a 69 años;Hombres;16.634
06 Badajoz;De 65 a 69 años;Mujeres;16.785
06 Badajoz;De 70 a 74 años  ;Hombres;14.128
06 Badajoz;De 70 a 74 años  ;Mujeres;15.908
06 Badajoz;De 75 a 79 años  ;Hombres;11.155
06 Badajoz;De 75 a 79 años  ;Mujeres;13.995
06 Badajoz;De 80 a 84 años  ;Hombres;7.826
06 Badajoz;De 80 a 84 años  ;Mujeres;11.718
06 Badajoz;De 85 a 89 años  ;Hombres;5.653
06 Badajoz;De 85 a 89 años  ;Mujeres;9.698
06 Badajoz;90 y más años;Hombres;2.400
06 Badajoz;90 y más años;Mujeres;5.154
07 Balears, Illes;De 0 a 4 años;Hombres;20.854
07 Balears, Illes;De 0 a 4 años;Mujeres;19.698
07 Balears, Illes;De 5 a 9 años;Hombres;24.398
07 Balears, Illes;De 5 a 9 años;Mujeres;22.876
07 Balears, Illes;De 10 a 14 años  ;Hombres;27.704
07 Balears, Illes;De 10 a 14 años  ;Mujeres;25.308
07 Balears, Illes;De 15 a 19 años  ;Hombres;26.365
07 Balears, Illes;De 15 a 19 años  ;Mujeres;24.616
07 Balears, Illes;De 20 a 24 años;Hombres;24.744
07 Balears, Illes;De 20 a 24 años;Mujeres;23.175
07 Balears, Illes;De 25 a 29 años;Hombres;27.086
07 Balears, Illes;De 25 a 29 años;Mujeres;26.063
07 Balears, Illes;De 30 a 34 años;Hombres;30.376
07 Balears, Illes;De 30 a 34 años;Mujeres;29.011
07 Balears, Illes;De 35 a 39 años;Hombres;35.010
07 Balears, Illes;De 35 a 39 años;Mujeres;33.480
07 Balears, Illes;De 40 a 44 años;Hombres;41.123
07 Balears, Illes;De 40 a 44 años;Mujeres;38.531
07 Balears, Illes;De 45 a 49 años;Hombres;41.568
07 Balears, Illes;De 45 a 49 años;Mujeres;39.159
07 Balears, Illes;De 50 a 54 años;Hombres;37.106
07 Balears, Illes;De 50 a 54 años;Mujeres;35.989
07 Balears, Illes;De 55 a 59 años;Hombres;32.993
07 Balears, Illes;De 55 a 59 años;Mujeres;33.142
07 Balears, Illes;De 60 a 64 años;Hombres;27.940
07 Balears, Illes;De 60 a 64 años;Mujeres;28.949
07 Balears, Illes;De 65 a 69 años;Hombres;23.173
07 Balears, Illes;De 65 a 69 años;Mujeres;24.420
07 Balears, Illes;De 70 a 74 años  ;Hombres;19.757
07 Balears, Illes;De 70 a 74 años  ;Mujeres;21.962
07 Balears, Illes;De 75 a 79 años  ;Hombres;14.352
07 Balears, Illes;De 75 a 79 años  ;Mujeres;17.241
07 Balears, Illes;De 80 a 84 años  ;Hombres;9.032
07 Balears, Illes;De 80 a 84 años  ;Mujeres;12.870
07 Balears, Illes;De 85 a 89 años  ;Hombres;5.755
07 Balears, Illes;De 85 a 89 años  ;Mujeres;10.115
07 Balears, Illes;90 y más años;Hombres;2.548
07 Balears, Illes;90 y más años;Mujeres;6.486
08 Barcelona;De 0 a 4 años;Hombres;100.911
08 Barcelona;De 0 a 4 años;Mujeres;95.567
08 Barcelona;De 5 a 9 años;Hombres;127.223
08 Barcelona;De 5 a 9 años;Mujeres;119.453
08 Barcelona;De 10 a 14 años  ;Hombres;144.858
08 Barcelona;De 10 a 14 años  ;Mujeres;134.885
08 Barcelona;De 15 a 19 años  ;Hombres;133.877
08 Barcelona;De 15 a 19 años  ;Mujeres;126.344
08 Barcelona;De 20 a 24 años;Hombres;119.090
08 Barcelona;De 20 a 24 años;Mujeres;111.337
08 Barcelona;De 25 a 29 años;Hombres;114.746
08 Barcelona;De 25 a 29 años;Mujeres;110.184
